product_code,description,barcode,packs_per_carton,gm_per_pack,price_point,purchase_price_pack,sale_price_pack,purchase_price_ctn,sale_price_ctn,brand
320033620,LAYS SALT 120G 120X12,320033620,12,120,150,124.372,137.58083333333335,1492.4639999999999,1650.97,LAYS
320035993,Lays F CHEESE 11G 11X80,320035993,80,11,20,16.790957499999998,18.673375,1343.2765999999997,1493.87,Lays
320035994,Lays Y&H 11G 11X80,320035994,80,11,20,16.790957499999998,18.673375,1343.2765999999997,1493.87,Lays
320035995,Lays MASALA 11G 11X80,320035995,80,11,20,16.790957499999998,18.673375,1343.2765999999997,1493.87,Lays
320035996,Lays SALT 11G 11X80,320035996,80,11,20,16.790957499999998,18.673375,1343.2765999999997,1493.87,Lays
320035997,Lays PAPRIKA 11G 11X80,320035997,80,11,20,16.790957499999998,18.673375,1343.2765999999997,1493.87,Lays
320036413,LAYS Y&H 11G 11X80 PERF,320036413,80,11,20,16.790957499999998,18.673375,1343.2765999999997,1493.87,LAYS
320035998,Lays F CHEESE 18G 18X48,320035998,48,18,30,24.819087499999998,27.548124999999999,1191.3162,1322.31,Lays
320035999,Lays Y&H 18G 18X48,320035999,48,18,30,24.819087499999998,27.548124999999999,1191.3162,1322.31,Lays
320040020,LAYS Y&H 17G 17X48,320040020,48,17,30,24.819087499999998,27.548124999999999,1191.3162,1322.31,LAYS
320036290,Lays MASALA 18G 18X48,320036290,48,18,30,24.819087499999998,27.548124999999999,1191.3162,1322.31,Lays
320036291,Lays SALT 18G 18X48,320036291,48,18,30,24.819087499999998,27.548124999999999,1191.3162,1322.31,Lays
320036292,Lays PAPRIKA 18G 18X48,320036292,48,18,30,24.819087499999998,27.548124999999999,1191.3162,1322.31,Lays
320036700,Lays F CHEESE 30G 30X24,320036700,24,30,50,41.513874999999999,46.046249999999993,996.33299999999997,1105.1099999999999,Lays
320036701,Lays Y&H 30G 30X24,320036701,24,30,50,41.513874999999999,46.046249999999993,996.33299999999997,1105.1099999999999,Lays
320040021,LAYS Y&H 29G 29X24,320040021,24,29,50,41.513874999999999,46.046249999999993,996.33299999999997,1105.1099999999999,LAYS
320036702,Lays MASALA 30G 30X24,320036702,24,30,50,41.513874999999999,46.046249999999993,996.33299999999997,1105.1099999999999,Lays
320036703,Lays SALT 30G 30X24,320036703,24,30,50,41.513874999999999,46.046249999999993,996.33299999999997,1105.1099999999999,Lays
320036704,Lays PAPRIKA 30G 30X24,320036704,24,30,50,41.513874999999999,46.046249999999993,996.33299999999997,1105.1099999999999,Lays
320036705,Lays F CHEESE 45G 45X16,320036705,16,45,70,57.746249999999996,64.461875000000006,923.93999999999994,1031.3900000000001,Lays
